Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment
CIu4-18,213.63,55.49,238.27,55.34,399.84,8.67,32.47,2.41,14.09,0.28,18.76,0.27,0.75,0.05,0.05,0.43,0.93,0.16,0.7,0.19,0.05,0.26,0.04,0.33,0.08,0.26,0.05,0.4,0.06,1.14,55.28,16.01,9.22,0.16,9.68,0.59,0.3,0.1,6.13,98.61,"Umino et al., 2018",1,High-Si-V
CBk1-8,169.12,47.33,167.02,32.98,437.78,15.21,43.52,2.4,16.63,0.37,32.19,0.45,1.2,0.06,0.07,0.56,1.12,0.17,0.72,0.21,0.06,0.24,0.04,0.31,0.08,0.28,0.05,0.36,0.07,1.32,58.36,15.02,8.62,0.19,7.6,0.19,0.43,0.07,6.21,98.01,"Umino et al., 2018",1,High-Si-V
AMm1-7,157.75,54.87,259.95,33.54,409.02,11.6,39.46,2.58,13.83,0.31,26.83,0.37,1.39,0.07,0.08,0.52,1.01,0.15,0.7,0.2,0.06,0.23,0.05,0.35,0.09,0.33,0.05,0.43,0.08,1.25,55.89,16.69,8.16,0.14,8.21,0.19,0.35,0.08,6.24,97.2,"Umino et al., 2018",1,High-Si-V
CIu1-3,137.2,43.44,114.08,39.1,416.36,5.85,30.74,2.82,15.54,0.35,14.61,0.46,1.28,0.04,0.11,0.66,1.06,0.14,0.79,0.22,0.07,0.28,0.05,0.38,0.1,0.31,0.05,0.53,0.07,1.11,60.03,10.32,9.83,0.14,6.76,0.88,0.12,0.05,6.63,95.87,"Umino et al., 2018",1,High-Si-V
CIu1-6,233.16,49.93,160.39,41.41,458.77,10.53,49.51,2.46,13.78,0.33,28.04,0.44,1.51,0.1,0.08,0.71,1.29,0.19,0.79,0.2,0.07,0.24,0.05,0.3,0.11,0.31,0.05,0.41,0.08,1.21,54.1,16.12,8.78,0.17,8.48,0.46,0.38,0.06,6.52,96.28,"Umino et al., 2018",1,High-Si-V
CBk1-3,192.13,48.62,232.99,34.45,393.87,14.05,44.69,2.08,11.81,0.32,32.89,0.42,1.67,0.09,0.09,0.58,1.14,0.16,0.67,0.17,0.05,0.22,0.03,0.29,0.07,0.27,0.04,0.4,0.06,1.07,56.19,16.24,8.63,0.12,7.86,0.59,0.45,0.06,6.34,97.55,"Umino et al., 2018",1,High-Si-V
AMs1-17,153.01,41.26,128.87,36.12,333.14,8.27,25,1.81,9.06,0.24,20.34,0.23,1.1,0.06,0.06,0.35,0.69,0.1,0.44,0.13,,0.17,0.04,0.2,0.07,0.19,0.04,0.4,0.07,0.66,57.53,12,9.53,0.17,7.76,0.18,0.22,0.06,7.07,95.18,"Umino et al., 2018",1,High-Si-V
AMs1-23,190.41,43.94,130.49,34.54,480.63,16.95,67.37,3,15.54,0.54,50.02,0.42,2.7,0.15,0.14,0.91,1.58,0.23,0.98,0.24,0.08,0.29,0.05,0.42,0.1,0.36,0.07,0.47,0.09,1.31,56.76,14.03,8.79,0.21,7.6,0.48,0.45,0.08,6.22,95.93,"Umino et al., 2018",1,High-Si-V
AMs1-25,158.82,48.13,223.69,30.17,396.58,14.43,51.72,2.95,15.86,0.6,41.65,0.43,2.52,0.15,0.16,0.98,1.69,0.24,1.04,0.24,0.07,0.28,0.05,0.4,0.08,0.38,0.06,0.52,0.07,1.11,55.24,16.32,7.87,0.22,7.55,0.51,0.43,0.08,5.81,95.14,"Umino et al., 2018",1,High-Si-V
AMs1-27,154.19,55.06,295.29,32.12,402.63,18.4,42.64,2.35,14.19,0.33,31.73,0.45,1.42,0.06,0.07,0.59,1.16,0.17,0.8,0.17,0.07,0.22,0.04,0.34,0.08,0.26,0.04,0.35,0.06,0.97,54.18,17.63,7.62,0.14,7.7,0.78,0.38,0.08,5.59,95.07,"Umino et al., 2018",1,High-Si-V
AMm1-2,215.15,48.84,88.12,38.56,518.83,12.9,57.55,3.1,16.97,0.41,33.4,0.41,1.52,0.1,0.08,0.7,1.3,0.19,0.87,0.19,0.08,0.28,0.05,0.42,0.09,0.37,0.05,0.48,0.09,1.17,57.43,13.83,8.98,0.25,8.47,0.51,0.4,0.06,6.85,97.95,"Umino et al., 2018",1,High-Si-V
CIu1-4,172.67,51.7,176.15,36.11,456.64,13.64,42.96,2.71,13.66,0.44,35.31,0.42,1.82,0.14,0.11,0.75,1.25,0.19,0.83,0.21,0.08,0.26,0.05,0.39,0.09,0.34,0.05,0.4,0.07,1.25,55.63,15.134,8.58,0.15,7.51,0.25,0.4,0.06,6.64,95.604,"Umino et al., 2018",1,High-Si-V
CIu4-13,225.01,51.94,276.92,39.89,497.81,14.37,40.98,2.34,13.48,0.33,30.85,0.47,1.05,0.07,0.08,0.62,1.13,0.19,0.81,0.19,0.06,0.2,0.03,0.3,0.09,0.3,0.05,0.4,0.06,1.3,55.28,17.85,8.23,0.18,7.86,0.51,0.42,0.04,6.35,98.02,"Umino et al., 2018",1,High-Si-V
CIu4-22,176.96,52.83,298.19,33.12,399.2,14.19,44.38,2.49,13.17,0.46,36.9,0.36,2.18,0.14,0.14,0.73,1.27,0.19,0.77,0.19,0.07,0.23,0.04,0.42,0.09,0.26,0.04,0.37,0.06,1.12,55.94,17.32,8.27,0.15,7.55,0.44,0.42,0.08,6.44,97.73,"Umino et al., 2018",1,High-Si-V
AMm1-4,172.81,55.24,185.78,29.39,428.9,14.84,47.08,2.62,15.45,0.41,33.64,0.42,1.82,0.09,0.11,0.7,1.3,0.2,0.83,0.23,0.06,0.24,0.05,0.4,0.09,0.34,0.05,0.37,0.07,1.27,55.52,14.63,8.31,0.15,7.75,0.37,0.48,0.08,5.91,94.47,"Umino et al., 2018",1,High-Si-V
AMm1-5,176.09,38.38,100.32,33.78,530.42,14.02,46.26,2.57,13.33,0.37,32.87,0.4,1.88,0.11,0.12,0.68,1.35,0.2,0.93,0.22,0.07,0.25,0.05,0.36,0.09,0.3,0.05,0.42,0.07,1.23,59.13,13.91,8.74,0.15,6.83,0.56,0.41,0.08,6.22,97.26,"Umino et al., 2018",1,High-Si-V
AMm1-6,159.4,53.68,318.84,30.71,374.51,11.33,35.27,2.58,12.84,0.27,26.86,0.39,1.4,0.08,0.09,0.58,1.06,0.18,0.71,0.21,0.06,0.19,0.04,0.36,0.08,0.3,0.06,0.38,0.07,0.97,53.37,17.28,7.73,0.17,7.57,0.4,0.39,0.07,5.6,93.55,"Umino et al., 2018",1,High-Si-V
AMm1-8,159.74,53.13,298.5,32.91,348.91,14.44,40.97,1.7,9.39,0.38,33.92,0.28,1.75,0.1,0.1,0.6,1.07,0.14,0.67,0.15,0.05,0.15,0.03,0.22,0.06,0.23,0.04,0.32,0.06,0.99,54.93,16.19,8.14,0.1,7.58,0.42,0.46,0.06,6.15,95.02,"Umino et al., 2018",1,High-Si-V
AMm1-21,154.19,59.68,384.95,34.44,325.04,11.29,28.6,1.98,11.34,0.3,26.8,0.3,1.61,0.08,0.08,0.46,0.87,0.13,0.6,0.17,0.05,0.18,0.04,0.26,0.06,0.27,0.04,0.33,0.07,0.71,52.63,20.9,7.7,0.23,8.29,0.62,0.39,0.09,5.24,96.8,"Umino et al., 2018",1,High-Si-V
CIu1-9,151.97,49.67,335.54,28.23,374.93,12.4,37,2.27,12.63,0.36,29.38,0.35,1.36,0.1,0.09,0.59,1.06,0.16,0.62,0.17,0.05,0.22,0.04,0.34,0.07,0.28,0.04,0.37,0.06,0.8,51.88,19.18,7.64,0.13,7.23,0.71,0.38,0.08,5.48,93.51,"Umino et al., 2018",1,High-Si-V
CIu1-10,187.47,41.7,141.79,36.01,387.68,9.82,45.41,2.6,13.78,0.29,23.78,0.34,1.08,0.08,0.06,0.61,1.21,0.19,0.82,0.2,0.07,0.22,0.04,0.34,0.09,0.3,0.05,0.48,0.08,1.08,54.91,14.23,8.56,0.16,6.97,0.34,0.32,0.02,6.24,92.83,"Umino et al., 2018",1,High-Si-V
CIu1-11,203.79,44.01,109.76,41.48,436.62,10.96,39.98,2.55,13.12,0.3,28.43,0.41,1.74,0.08,0.1,0.59,1.08,0.16,0.72,0.16,0.07,0.24,0.05,0.33,0.08,0.28,0.06,0.47,0.09,1.17,54.5,12.6,8.88,0.15,6.9,0.21,0.45,0.03,6.71,91.6,"Umino et al., 2018",1,High-Si-V
CHu1-1,222.06,56.51,239.8,39.97,417.69,7.56,55.79,2.99,16.28,0.51,21.72,0.39,1.27,0.06,0.1,0.65,1.26,0.19,0.99,0.31,0.06,0.25,0.06,0.38,0.1,0.41,0.05,0.45,0.08,1.12,54.94,17.32,8.96,0.09,7.32,1.25,0.27,0.07,5.66,97,"Umino et al., 2018",1,High-Si-V
CHu1-30,182.39,42.73,171.3,33.98,406.65,12.67,34.52,2.51,12.16,0.34,26.75,0.26,1.36,0.07,0.08,0.55,1.18,0.17,0.75,0.23,0.05,0.29,0.05,0.36,0.09,0.32,0.05,0.43,0.07,1.05,55.97,15.18,9.12,0.14,7.82,0.74,0.38,0.04,6.76,97.2,"Umino et al., 2018",1,High-Si-V
CNs2-5,147.41,33.91,172.29,37.55,420.82,9.33,33.01,2.48,11.56,0.3,20.83,0.25,1.29,0.08,0.07,0.42,0.84,0.13,0.6,0.13,0.06,0.23,0.04,0.36,0.12,0.38,0.05,0.49,0.09,1.1,55.05,14.35,8.34,0.12,6.24,0.49,0.34,0.07,6.9,93,"Umino et al., 2018",1,High-Si-V
CNs2-8b,141.06,29.93,72.92,30.61,532.67,18.28,52.21,3.87,14.48,0.46,37.85,0.35,1.78,0.11,0.09,0.77,1.24,0.18,0.9,0.29,0.12,0.32,0.06,0.55,0.12,0.32,0.07,0.5,0.09,1.76,60.04,9.01,11.14,0.05,6.5,0.49,0.37,0.15,7.49,97,"Umino et al., 2018",1,High-Si-V
AMm1-11,244.42,47.45,100.6,42.25,738.16,12.6,71.98,3.36,18.76,0.42,33.79,0.61,1.59,0.1,0.08,0.78,1.57,0.25,1.06,0.3,0.12,0.42,0.08,0.48,0.12,0.42,0.06,0.44,0.12,1.65,57.34,9.49,11.67,0.13,8.2,0.93,0.39,0.14,8.34,98.28,"Umino et al., 2018",0,Low-Si-D
AMm1-20,151.38,42.23,117.79,29,444.93,14.52,41.21,2.46,12.84,0.41,37.2,0.33,2.04,0.14,0.13,0.7,1.17,0.16,0.64,0.21,0.08,0.27,0.05,0.39,0.09,0.31,0.05,0.38,0.07,1.19,49.99,12.12,11.19,0.26,9.26,0.46,0.41,0.13,7.25,92.26,"Umino et al., 2018",0,Low-Si-D
CIu1-7,241.23,51.21,139.76,43.12,508.74,13.35,52.24,2.57,13.69,0.33,28.67,0.47,1.13,0.08,0.09,0.69,1.25,0.18,0.74,0.2,0.06,0.25,0.04,0.31,0.1,0.32,0.06,0.37,0.07,1.38,56.12,14.13,10.05,0.16,8.97,0.65,0.41,0.1,7.13,99.1,"Umino et al., 2018",0,Low-Si-D
CNk1-6,412.26,96.43,233.43,51.71,624.1,7.34,53.36,2.24,9.27,0.73,21.08,0.44,1.02,0.07,0.05,0.54,0.82,0.12,0.8,0.16,0.09,0.35,0.05,0.47,0.04,0.36,0.02,0.41,0.07,0.65,53.53,17.41,10.73,0.1,6.37,1.31,0.16,0.14,9.02,99.42,"Umino et al., 2018",0,Low-Si-D
CIu1-2,407.14,55.42,133.09,49.97,1030.62,13.57,64.43,3.24,16.48,0.33,32.76,0.37,1.64,0.09,0.12,0.71,1.38,0.19,0.83,0.23,0.09,0.29,0.04,0.41,0.1,0.42,0.06,0.56,0.08,1.45,51.88,12.66,11.21,0.21,9.8,1.05,0.41,0.18,7.59,96.44,"Umino et al., 2018",0,Low-Si-D
CHu1-22,260.27,63.69,110.73,39.08,514.97,4.46,34.35,2.37,11.33,0.51,11.24,0.41,1.04,0.04,0.09,0.66,1.31,0.19,0.8,0.19,0.06,0.14,0.03,0.39,0.07,0.28,0.03,0.32,0.06,1.06,56.29,11.85,9.64,0.19,8.87,0.98,0.14,0.09,8.65,97.76,"Umino et al., 2018",0,Low-Si-D
CHu1-7,595.77,100.11,361.83,43.7,811.1,12.49,75.89,3.63,20.6,1.03,36.92,0.7,1.78,0.19,0.12,0.94,1.89,0.33,1.47,0.44,0.16,0.55,0.07,0.58,0.14,0.46,0.05,0.54,0.08,1.86,56.83,11.61,11.47,0.08,6,1.04,0.49,0.09,8.78,98.25,"Umino et al., 2018",0,Low-Si-D
CNk1-4,205.15,34.26,55.99,46.95,619.27,7.06,70.99,3.15,10.18,0.22,21.22,0.31,1.08,0.06,0.06,0.48,0.89,0.14,0.74,0.25,0.1,0.33,0.05,0.51,0.11,0.37,0.06,0.46,0.08,1.03,57.65,10.62,11,0.17,6.71,0.48,0.25,0.07,10.52,98.5,"Umino et al., 2018",0,Low-Si-D
CNs1-11,314.17,43.07,130.52,44.42,766.63,13.7,60.85,3.87,13.95,0.33,33.82,0.41,2.14,0.12,0.14,0.8,1.57,0.21,0.85,0.23,0.09,0.35,0.09,0.68,0.15,0.45,0.08,0.58,0.09,1.54,53.95,14.9,9.24,0.21,8.46,1.07,0.42,0.13,7.31,97.23,"Umino et al., 2018",0,Low-Si-D
CNs2-11,284.29,46.22,153.43,46.9,882.95,13.15,48.29,3.23,16.16,0.42,37.97,0.37,2.15,0.15,0.12,0.67,1.24,0.16,0.8,0.24,0.1,0.37,0.08,0.47,0.11,0.35,0.07,0.54,0.09,1.26,55.72,14.42,10.22,0.17,7.94,1.01,0.39,0.16,7.16,98.45,"Umino et al., 2018",0,Low-Si-D
CNs1-2,272.84,39.25,46.93,43.93,665.75,10.18,76.42,3.38,15.03,0.31,28.31,0.49,1.59,0.09,0.09,0.68,1.34,0.21,0.93,0.29,0.1,0.36,0.06,0.52,0.11,0.38,0.07,0.53,0.08,1.13,56.91,6.74,13.31,0.13,8.31,0.34,0.23,0.1,9.6,96.8,"Umino et al., 2018",0,Low-Si-D
OOb1-4,193.46,34.81,97.82,46.01,1061.86,5.36,93.45,6.08,14.68,0.58,37.11,0.39,1.05,0.14,0.09,1.13,2.58,0.35,1.7,0.52,0.2,0.75,0.13,0.94,0.22,0.71,0.1,0.78,0.12,1.22,53.44,12.05,9.65,0.17,7.35,0.78,0.32,0.14,8.91,94.03,"Umino et al., 2018",0,Low-Si-F
OOb1-5,212.18,36.89,83.6,47.19,1214.67,5.05,101.86,7.35,17.12,0.56,36.63,0.5,1.05,0.15,0.1,1.22,2.86,0.43,2.1,0.67,0.27,0.95,0.16,1.23,0.25,0.83,0.13,0.83,0.13,1.48,57.75,8.29,11.58,0.1,7.24,0.31,0.34,0.16,10.51,97.76,"Umino et al., 2018",0,Low-Si-F
OOb1-6,194.26,39.07,84.47,41.28,1088.11,6.41,91.51,6.31,14.96,0.61,40.26,0.47,1.05,0.15,0.12,1.1,2.59,0.34,1.82,0.54,0.21,0.79,0.13,0.94,0.21,0.71,0.1,0.69,0.13,1.24,56.88,11.59,9.97,0.15,7.82,1.02,0.31,0.19,9.44,98.61,"Umino et al., 2018",0,Low-Si-F
OOb1-12,150.97,45.5,210.86,52.05,989.87,4.04,84.14,6.45,15.79,0.38,27.6,0.45,1.12,0.12,0.08,1.06,2.65,0.39,2.02,0.64,0.22,0.81,0.15,0.97,0.2,0.73,0.11,0.87,0.12,1.25,53.37,13.25,10.99,0.21,9.61,0.54,0.26,0.16,7.91,97.55,"Umino et al., 2018",0,Low-Si-F
ONk1-3,264.64,49.71,132.83,56.59,1396.72,5.21,93.2,5.99,16.78,0.53,34.98,0.46,1.07,0.13,0.09,1.12,2.65,0.4,1.9,0.64,0.23,0.8,0.13,0.95,0.23,0.73,0.12,0.74,0.13,1.15,53.48,13.52,10.69,0.24,9.41,0.54,0.32,0.19,7.97,97.51,"Umino et al., 2018",0,Low-Si-F
ONk1-4,164.23,55.42,247.81,32.81,883.49,6.16,90.36,5.44,15.8,0.52,39.64,0.45,0.92,0.15,0.1,1.04,2.34,0.32,1.62,0.54,0.2,0.73,0.11,0.89,0.18,0.62,0.08,0.66,0.1,0.97,51.38,18.12,8.81,0.18,8.61,0.37,0.32,0.12,7.47,96.35,"Umino et al., 2018",0,Low-Si-F
ONk1-7,218.22,34.88,112.99,52.69,1031.41,7.1,91.02,6.46,17.59,0.7,43.57,0.54,1.12,0.13,0.11,1,2.41,0.38,1.87,0.68,0.24,0.87,0.13,1.02,0.24,0.7,0.11,0.85,0.13,1.55,56.37,11.63,10.64,0.25,7.35,0.68,0.29,0.18,11.19,100.13,"Umino et al., 2018",0,Low-Si-F
ONk1-11,209.8,43.05,92.14,47.93,1133.42,5.85,93.35,6.36,16.58,0.57,37.96,0.47,1.03,0.14,0.1,1.11,2.57,0.36,1.78,0.62,0.22,0.81,0.14,1.03,0.24,0.74,0.11,0.79,0.13,1.4,56.46,11.67,10.44,0.2,8.76,0.5,0.33,0.19,9.62,99.57,"Umino et al., 2018",0,Low-Si-F
OTb1-1,149.49,44.34,79.42,50.22,1037.97,6.17,94.23,6.12,17.95,0.65,42.38,0.5,1.07,0.17,0.09,1.05,2.45,0.33,1.63,0.59,0.19,0.74,0.13,1.03,0.2,0.71,0.1,0.79,0.14,1.36,53.59,11.44,11.91,0.24,8.89,0.3,0.31,0.16,8.51,96.71,"Umino et al., 2018",0,Low-Si-F
OTb1-8,217.18,54.09,249.28,38.58,1063.73,9.64,52.27,5.91,15.56,0.63,36.5,0.42,0.8,0.07,0.11,0.76,2.41,0.34,1.69,0.52,0.18,0.74,0.14,1.03,0.2,0.7,0.09,0.73,0.14,1.19,52.29,17.88,9.92,0.13,8.46,0.96,0.34,0.15,7.96,99.28,"Umino et al., 2018",0,Low-Si-F
OTb1-9,131.51,31.7,84.28,45.64,866.92,5.71,103.34,6.23,17.17,1.14,40.23,0.59,0.87,0.14,0.18,1.92,5.88,0.53,1.89,0.47,0.19,0.78,0.12,1.03,0.22,0.7,0.1,0.7,0.13,1.27,54.3,10.38,10.56,0.24,6.27,1.11,0.33,0.13,9.99,94.58,"Umino et al., 2018",0,Low-Si-F
OTb1-17,253.36,33.95,82.77,44.62,1428.47,6.37,103,6.93,17.7,0.73,45.69,0.49,1.3,0.33,0.44,2.2,5.43,0.5,2.25,0.63,0.27,0.81,0.15,1.12,0.23,0.68,0.1,0.78,0.1,1.24,55.47,10.96,10.95,0.2,7.18,0.57,0.34,0.22,10.21,97.34,"Umino et al., 2018",0,Low-Si-F
OTb1-21,208.61,45.47,107.58,41.9,738.9,5.36,88.54,5.28,11.93,0.47,35.23,0.34,1.01,0.13,0.1,1.06,2.37,0.33,1.63,0.47,0.17,0.58,0.1,0.84,0.21,0.63,0.09,0.62,0.09,1.19,56.33,11.87,8.91,0.24,8.8,0.53,0.32,0.12,8.72,97.03,"Umino et al., 2018",0,Low-Si-F
OTb1-23,217.83,42.93,104.56,47.43,1135.67,4.92,88.02,5.92,16.21,0.49,35.97,0.49,0.95,0.11,0.09,1.03,2.53,0.4,1.88,0.6,0.2,0.86,0.15,0.97,0.22,0.71,0.11,0.73,0.12,1.25,54.78,13.19,10.72,0.15,9.23,0.89,0.29,0.16,8.49,99.15,"Umino et al., 2018",0,Low-Si-F
OTb1-27,277.2,41.74,86.76,54.52,1347.18,5.26,101.7,6.91,16.74,0.53,38.66,0.51,1.12,0.17,0.11,1.22,2.79,0.38,1.92,0.62,0.24,0.9,0.16,1.07,0.23,0.77,0.1,0.9,0.14,1.13,55.35,10.81,9.27,0.2,7.34,0.64,0.26,0.2,10.93,96.13,"Umino et al., 2018",0,Low-Si-F
GTg1-1,182.69,49.43,89.65,8.64,1796.84,5.9,128.42,12.23,29.04,1.41,42.11,0.97,1.35,0.35,0.19,2.63,6.04,0.76,3.8,1.16,0.46,1.48,0.3,2.23,0.46,1.34,0.21,1.62,0.22,1.64,53.17,8.68,14.773,0.17,8.09,0.87,0.33,0.26,9.48,97.463,"Umino et al., 2018",0,Ultra-low-Si
GTg3-5,231.28,41.56,165.18,32.96,1616.12,4.23,120.8,8.7,19.95,0.8,32.47,0.68,0.92,0.24,0.11,1.64,4.07,0.61,3.02,0.93,0.37,1.23,0.25,1.36,0.29,0.91,0.15,0.94,0.15,2.33,51.16,10.97,13.83,0.15,6.84,1.1,0.26,0.37,9.42,96.43,"Umino et al., 2018",0,Ultra-low-Si
GTg3-29,249.83,42.57,173.14,36.55,1665.31,5.36,109.98,8.74,17.18,0.7,36.57,0.55,1.16,0.17,0.12,1.09,2.5,0.39,2.04,0.73,0.29,1.06,0.19,1.49,0.3,1.04,0.15,1.18,0.17,1.55,50.73,13.18,11.64,0.14,7.7,0.32,0.3,0.28,10.37,96.21,"Umino et al., 2018",0,Ultra-low-Si
GTg2-2,303.45,45.4,168.91,33.66,1891.6,5.27,135.96,9.87,21.46,0.98,39.94,0.68,1.17,0.24,0.13,1.65,4.14,0.56,3.05,0.94,0.4,1.19,0.24,1.75,0.36,1.1,0.13,1.12,0.15,1.8,52,12.27,11.96,0.19,7.15,0.82,0.31,0.3,9.93,96.73,"Umino et al., 2018",0,Ultra-low-Si
GTg2-3,290.05,42.68,207.42,41.76,1877.88,4.15,96.24,15.74,35.46,1.63,33.67,0.95,1.12,0.25,0.28,2.06,6.94,0.96,4.85,1.79,0.76,2.3,0.39,2.81,0.6,1.6,0.18,1.22,0.17,2.34,50.04,11.68,12.74,0.15,7.37,0.78,0.24,0.32,9.8,95.46,"Umino et al., 2018",0,Ultra-low-Si
GTg2-34,369.23,75.61,420.49,37.61,2252.53,3.88,109.52,9.3,24.7,0.97,31.56,1.07,1.05,0.19,0.12,1.12,2.91,0.48,2.66,0.94,0.41,1.37,0.24,1.54,0.28,0.94,0.14,1.19,0.16,1.78,50.66,12.22,12.15,0.09,7.33,1.06,0.23,0.36,10.08,95.96,"Umino et al., 2018",0,Ultra-low-Si
GTg2-22,318.85,42.44,177.56,39.42,1783.53,5.61,124.78,9.54,20.95,1.14,40.49,0.64,1.42,0.34,0.15,2.2,5.01,0.64,2.83,0.96,0.41,1.39,0.22,1.76,0.38,1.05,0.13,1.11,0.18,1.46,51.49,12.11,11.72,0.17,7.72,0.66,0.28,0.28,9.56,95.45,"Umino et al., 2018",0,Ultra-low-Si
GTg3-8,230.47,45.91,168.53,34.08,1631.87,5.35,129.83,9.08,18.53,0.74,38.13,0.56,1.28,0.17,0.15,1.31,3.04,0.47,2.29,0.83,0.33,1.2,0.19,1.47,0.34,1.01,0.17,1.1,0.17,1.57,50.1,12.93,11.55,0.17,7.51,0.33,0.34,0.25,9.97,94.72,"Umino et al., 2018",0,Ultra-low-Si
GTg3-12,261.41,38.08,135.57,29.61,2273.75,5.01,106.23,11.71,22.07,0.99,34.16,0.67,1.04,0.24,0.14,1.57,3.56,0.53,2.68,1.03,0.38,1.5,0.24,1.86,0.43,1.35,0.23,1.43,0.22,1.62,51.25,11.02,12.78,0.13,7.54,0.64,0.31,0.36,10.24,95.89,"Umino et al., 2018",0,Ultra-low-Si
GTg3-28,173.15,44.42,165.64,30.24,1235.13,4.58,94.11,8.44,14.87,0.65,32.8,0.5,1.08,0.11,0.11,1.03,2.36,0.34,1.81,0.61,0.29,0.98,0.2,1.47,0.33,0.96,0.11,0.98,0.14,1.4,52.52,13.75,11.04,0.14,7.68,0.81,0.29,0.18,10.24,98.05,"Umino et al., 2018",0,Ultra-low-Si
GTg1-12,366.06,48.47,146.55,37.82,2173.11,6.44,113.07,10.64,21.62,0.83,30.91,0.79,1.43,0.2,0.12,1.31,3.07,0.45,2.46,0.96,0.37,1.4,0.24,1.67,0.37,1.2,0.18,1.21,0.2,1.39,47.98,11.242,12.11,0.14,7.59,0.73,0.48,0.36,8.85,90.872,"Umino et al., 2018",0,Ultra-low-Si
GTg1-20,224.82,38.87,149.62,37.68,1461.43,5.53,118.63,9.27,17.66,0.67,36.03,0.62,1.14,0.13,0.11,1.03,2.51,0.39,2.05,0.84,0.31,1.12,0.2,1.67,0.33,1.09,0.14,1.1,0.17,1.71,50.72,9.99,12.33,0.11,6.8,0.71,0.42,0.25,8.84,91.88,"Umino et al., 2018",0,Ultra-low-Si
GTg2-15,232.04,43.49,180.15,35.21,1259.45,5.51,98.22,7.62,16.53,0.96,39.68,0.48,1.22,0.22,0.15,1.41,3.35,0.45,2.13,0.74,0.29,1.01,0.17,1.32,0.25,0.88,0.15,0.91,0.13,1.56,50.63,13.35,11.1,0.19,7.29,0.62,0.34,0.22,9.39,94.69,"Umino et al., 2018",0,Ultra-low-Si
GTg2-21,271.73,43.25,150.32,35.41,1802.74,5,96.25,8.56,19.48,0.7,29.54,0.7,1.28,0.21,0.16,1.33,3.39,0.51,2.73,1.08,0.37,1.28,0.2,1.6,0.33,1.03,0.15,1.11,0.16,1.36,48.48,12.57,11.29,0.19,7.33,0.96,0.3,0.3,10.18,92.96,"Umino et al., 2018",0,Ultra-low-Si
GTg3-32,199.93,38.04,80.86,32.1,2242.59,3.85,144.02,12.35,33.13,0.44,25.18,0.79,1.46,0.2,0.13,2.08,5.83,0.92,4.98,1.73,0.63,1.89,0.36,2.21,0.45,1.36,0.17,1.24,0.18,2.16,55.73,6.52,15.05,0.13,7.59,0.83,0.25,0.32,11.03,99.61,"Umino et al., 2018",0,Ultra-low-Si
GTg3-33,183.13,34.23,66.5,29.9,1607.67,5.34,113.66,10.22,18.81,1.06,38.26,0.61,1.36,0.26,0.15,1.48,3.48,0.5,2.47,0.87,0.32,1.25,0.2,1.62,0.33,1.21,0.18,1.23,0.18,1.08,54.94,8.83,12.79,0.19,6.93,0.71,0.26,0.25,10.22,96.2,"Umino et al., 2018",0,Low-Si
GTg3-17,191.65,28.71,65.64,16.31,1919.21,6.13,147.72,8.98,24.06,0.86,40.97,0.82,1.45,0.19,0.15,1.73,4.14,0.64,3.32,1.19,0.47,1.42,0.22,1.43,0.28,0.74,0.08,0.57,0.08,2.47,57.1,7.02,13.78,0.07,5.53,0.86,0.42,0.33,9.15,96.73,"Umino et al., 2018",0,Low-Si
GT1-17,245.94,46.57,213.87,26.37,1504.64,6.14,152.21,9.69,29.27,1.55,46.86,1.1,1.45,0.63,0.23,3.83,8.32,1.1,5.11,1.57,0.51,1.7,0.32,1.72,0.31,0.94,0.14,0.9,0.16,1.25,54.77,13.14,11.27,0.12,6.66,0.8,0.4,0.24,7.51,96.16,"Umino et al., 2018",0,Low-Si
GTg1-26,198.23,39.99,101.11,27.86,1398.51,7.31,144.55,8.93,26.42,1.34,50.55,0.8,1.87,0.39,0.22,2.46,5.79,0.77,3.42,1.17,0.45,1.39,0.22,1.49,0.31,1.01,0.16,1.08,0.18,2.04,55.63,7.71,12.93,0.11,5.74,0.89,0.48,0.27,6.74,92.54,"Umino et al., 2018",0,Low-Si
GTg1-27,284.06,73.19,223.8,26.21,1292.4,5.67,133.78,8.49,29.64,1.7,44.65,0.87,1.31,0.47,0.23,2.97,7.26,0.93,4.16,1.12,0.48,1.41,0.23,1.43,0.24,0.64,0.08,0.63,0.1,2.01,58.16,8.99,11.46,0.16,6.83,0.98,0.28,0.27,6.99,96.13,"Umino et al., 2018",0,Low-Si
GTg2-26,156.96,30.98,124.27,32.94,1375.95,5.72,100.57,7.49,64.68,3.52,38.67,1.29,1.26,0.2,0.23,1.27,3.37,0.5,2.73,0.99,0.36,1.02,0.17,1.16,0.25,0.83,0.11,0.81,0.15,2.24,57.31,11.18,12.8,0.17,6.45,0.99,0.35,0.21,6.79,98.49,"Umino et al., 2018",0,Low-Si
